url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
https://www.rottentomatoes.com/m/face_of_terror,,,
https://www.rottentomatoes.com/m/h8,,95,
https://www.rottentomatoes.com/m/3_am_part_3,,,
https://www.rottentomatoes.com/m/tether,,,
https://www.rottentomatoes.com/m/boa,,20,
https://www.rottentomatoes.com/m/decay,,27,
https://www.rottentomatoes.com/m/the_changeling,,60,
https://www.rottentomatoes.com/m/thankskilling,,42,
https://www.rottentomatoes.com/m/somnium,,,
https://www.rottentomatoes.com/m/night_shift,93,63,Night Shiftbristles with pitch-perfect laughs thanks to Ron Howard's snappy direction and a side-splitting turn from Michael Keaton.
https://www.rottentomatoes.com/m/whispers,,17,
https://www.rottentomatoes.com/m/vamp_bikers,,,
https://www.rottentomatoes.com/m/lady_of_csejte,,,
https://www.rottentomatoes.com/m/hunger,,,
https://www.rottentomatoes.com/m/world-war-z,67,72,"It's uneven and diverges from the source book, butWorld War Zstill brings smart, fast-moving thrills and a solid performance from Brad Pitt to the zombie genre."
https://www.rottentomatoes.com/m/ouija_seance_the_final_game,,12,
https://www.rottentomatoes.com/m/zombie_beach,,94,
https://www.rottentomatoes.com/m/monstroid,,12,
https://www.rottentomatoes.com/m/midnight,,,
https://www.rottentomatoes.com/m/night_game,0,12,
https://www.rottentomatoes.com/m/virus_undead,,11,
https://www.rottentomatoes.com/m/antiviral,65,40,"Antiviralis well-crafted body horror, packed with interesting -- if not entirely subtle -- ideas."
https://www.rottentomatoes.com/m/hangman,,22,
https://www.rottentomatoes.com/m/megaboa,,,
https://www.rottentomatoes.com/m/taps,69,67,
https://www.rottentomatoes.com/m/dead_end,,,
https://www.rottentomatoes.com/m/house_of_usher,,9,
https://www.rottentomatoes.com/m/three-on-a-meathook,,19,
https://www.rottentomatoes.com/m/blood_dreams,,,
https://www.rottentomatoes.com/m/blood_bath,,,
https://www.rottentomatoes.com/m/didnt_die,61,,"Didn't Diemixes lo-fi visuals, humor, and horror effectively, but uneven pacing and a slight premise keep its drama from fully landing."
https://www.rottentomatoes.com/m/vicious,,,
https://www.rottentomatoes.com/m/10_31,,,
https://www.rottentomatoes.com/m/the_heirloom,,,
https://www.rottentomatoes.com/m/terror_trips,,44,
https://www.rottentomatoes.com/m/666_the_child,,42,
https://www.rottentomatoes.com/m/deadman_inferno,,,
https://www.rottentomatoes.com/m/warnings,,,
https://www.rottentomatoes.com/m/kali,,,
https://www.rottentomatoes.com/m/scent,,,
https://www.rottentomatoes.com/m/subject_101,,,
https://www.rottentomatoes.com/m/queen_of_the_damned,17,66,A muddled and campy MTV-styled vampire movie with lots of eye candy and bad accents.
https://www.rottentomatoes.com/m/casting_kill,,,
https://www.rottentomatoes.com/m/simon_says,,20,
https://www.rottentomatoes.com/m/totally_killer,85,76,"Totally Killermay not take full advantage of its promising conceit, but this time-traveling horror/sci-fi mashup is still enjoyable overall."
https://www.rottentomatoes.com/m/night_of_the_dribbler,,,
https://www.rottentomatoes.com/m/demonic_toys,,28,
https://www.rottentomatoes.com/m/monstrum,94,63,
https://www.rottentomatoes.com/m/missing,,60,
https://www.rottentomatoes.com/m/the_hook_of_woodland_heights,,,
https://www.rottentomatoes.com/m/mandroid,,8,
https://www.rottentomatoes.com/m/talisman,,7,
https://www.rottentomatoes.com/m/two_lovers,81,59,"Two Loversis a complex, intriguing, richly-acted romantic drama."
https://www.rottentomatoes.com/m/labor_day,,,
https://www.rottentomatoes.com/m/the_way_station,,,
https://www.rottentomatoes.com/m/thr3e,5,51,"Thr3eis a shoddily made, thrill-free thriller that isn't half as good as the several movies it borrows from (Adaptation, Saw, Se7en)."
https://www.rottentomatoes.com/m/kasi,,,
https://www.rottentomatoes.com/m/the_wicked_one,,,
https://www.rottentomatoes.com/m/alexs_apartment,,,
