tconst,tmdb_id,title,primaryTitle,genres,averageRating,numVotes
tt14182838,1002349,After Hours,After Hours,,7.1,22.0
tt1418377,100241,"I, Frankenstein","I, Frankenstein","Action, Fantasy, Sci-Fi",5.1,86259.0
tt1418824,222641,Visions,Visions,"Horror, Mystery, Thriller",4.1,234.0
tt1419644,1377785,Mr. Buttons,Mr. Buttons,,,
tt14209234,848542,The Maestro: A Symphony of Terror,The Maestro: A Symphony of Terror,"Fantasy, Horror",6.6,20.0
tt14214670,873096,Night Caller,Night Caller,"Horror, Mystery, Thriller",4.8,213.0
tt14218694,491390,Gorgon,Gorgon,,7.3,6.0
tt1422096,1144468,My Demon,My Demon,,6.0,7.0
tt14242578,924323,Exorcist Vengeance,Exorcist Vengeance,Horror,2.9,312.0
tt14256528,530643,Os Mortos,Os Mortos,,,
tt14270666,602133,Chinsodan: Death Night,Chinsoudan 1gousha,Horror,5.4,7.0
tt14293232,969679,RPG RIP,RPG RIP,,,
tt1430077,178408,Dark Feed,Dark Feed,Horror,3.3,1620.0
tt1430620,49960,Kiss the Abyss,Kiss the Abyss,Horror,4.2,254.0
tt14323776,766592,Ravine Angel: Ambition,Ravine Angel: Ambition,,,
tt1433183,119640,Sleeper,Sleeper,"Action, Horror",3.4,160.0
tt1433194,424654,Tainted Milk,Tainted Milk,,4.4,110.0
tt1433330,107738,Possum Walk,Possum Walk,"Horror, Romance",6.4,26.0
tt14338098,357522,Night Feed,Night Feed,,,
tt14353710,348169,Baby,Baby,Horror,8.1,29.0
tt14363350,1023371,The Monster of Phantom Lake: The Musical!,The Monster of Phantom Lake: The Musical!,,5.6,11.0
tt14383732,1413025,La Villa del Seis,La Villa del Seis,Horror,,
tt1439563,643071,The Postman Doesn't Knock Three Times,The Postman Doesn't Knock 3 Times,"Drama, Horror, Mystery",5.3,639.0
tt14425468,821954,Jotugriho,Jatugriha,"Drama, Horror",7.1,128.0
tt1445090,246072,Pocong Kamar Sebelah,Pocong Kamar Sebelah,Horror,4.3,36.0
tt1445641,290708,Family Property: Backwoods Killing Spree,Family Property Backwoods Killing Spree,"Comedy, Horror, Thriller",6.1,32.0
tt14463866,1144534,Something's Missing,Something's Missing,,4.8,17.0
tt14501448,892175,The Wet Ones,The Wet Ones,\N,5.2,439.0
tt14506120,486901,Enchanted Moon Red Snake Silver Tray,Enchanted Moon Red Snake Silver Tray,,,
tt14513510,991810,Bottom,Bottom,,6.1,34.0
tt14514006,831772,A Carta,A Carta,,,
tt14556190,988857,Harmony,Harmony,"Action, Horror, Sci-Fi",2.5,181.0
tt14562764,893516,Dendam Kesuma,Dendam Kesuma,Horror,5.3,14.0
tt14586436,1267031,A little of your Blood,A little of your Blood,,,
tt1458666,784593,The Sphere of the Lycanthrope,The Sphere of the Lycanthrope,"Action, Comedy, Horror",7.1,42.0
tt14590444,1076187,Hypocritical Hit,Hypocritical Hit,,8.2,10.0
tt1463411,55937,"Monsters, Marriage and Murder in Manchvegas","Monsters, Marriage and Murder in Manchvegas",,5.3,122.0
tt1466956,1099116,Kandhei Akhire Luha,Kandhei Akhire Luha,Drama,8.3,51.0
tt1469294,1419069,The Tell-Tale Heart,The Tell-Tale Heart,,7.3,12.0
tt14694064,1009140,Black Butterflies,Black Butterflies,,,
tt14703134,1409390,Love and Core,Love and Core,,,
tt14707450,981218,The Clothes Game,The Clothes Game,,,
tt1470861,584682,Daydream,Hakujitsumu,"Drama, Fantasy, Horror",5.8,49.0
tt14711678,797659,Space Yokai War,Space Yokai War,,5.0,10.0
tt14716182,1312557,Die Kinder von Luzifer,Die Kinder von Luzifer,"Drama, Horror",6.5,6.0
tt1472590,127207,The Gruesome Death of Tommy Pistol,The Gruesome Death of Tommy Pistol,,5.5,85.0
tt14728196,854341,Senritsu Kaiki File Kowasugi! File 03: Legend of a Human-Eating Kappa,Senritsu Kaiki File Kowasugi! File 03: Legend of a Human-Eating Kappa,,6.2,287.0
tt14741844,835746,There's Something in the Shadows,There's Something in the Shadows,Horror,3.0,151.0
tt14771112,883361,Rise of the Dead: The Undead Heart,Rise of the Dead: The Undead Heart,,,
tt14774692,878032,Future Shock,Future Shock,Sci-Fi,3.5,243.0
tt1478325,53080,Malibu Shark Attack,Malibu Shark Attack,"Action, Adventure, Comedy",3.1,2902.0
tt14791348,837503,Romero's Elegy,Romero's Elegy,,,
tt14795768,1200012,The Zombie Wedding,The Zombie Wedding,"Comedy, Romance",6.6,75.0
tt14807000,996067,NightMare,Nightmare,"Drama, Horror, Mystery",5.0,1156.0
tt1482982,1255722,Angriff der Killertelefonbücher,Angriff der Killertelefonbücher,,6.3,9.0
tt1483458,179363,Not Even Death,Not Even Death,,6.8,69.0
tt14858054,879957,Wyrmwood: Apocalypse,Wyrmwood: Apocalypse,"Action, Comedy, Horror",5.5,3942.0
tt14858146,852636,The Devil's Tail,The Devil's Tail,Horror,3.5,1076.0
tt14867006,753453,V/H/S/94,V/H/S/94,"Fantasy, Horror, Mystery",5.6,17140.0
tt1486824,1661458,The Black Idol,The Black Idol,,,
