tmdb_id,vote_average,vote_count,popularity
880381,4.8,4,0.6173
838427,8.5,2,0.0757
842514,8.3,3,0.375
79277,8.0,1,0.113
716681,5.0,1,0.3966
104205,4.777,47,0.8695
28274,2.1,9,0.1916
608444,5.4,20,0.4838
750620,7.0,1,0.1633
216391,2.5,4,0.1641
995810,4.9,23,0.6631
29338,5.63,23,0.471
1222568,9.0,1,0.0855
807858,5.0,1,0.1682
774149,6.0,2,0.421
303267,4.0,40,0.2573
667015,1.0,1,0.1872
421881,6.2,11,0.1788
1405156,10.0,1,0.0427
474672,2.3,3,0.2078
895433,3.5,2,0.1149
666749,8.0,1,0.3689
1324465,4.0,1,0.042
421987,5.9,24,0.5019
1562459,10.0,1,0.1274
611534,4.8,13,0.3566
986677,1.2,3,0.1387
19742,6.5,185,2.1733
1300054,8.0,1,0.1211
527642,5.4,74,1.6959
85674,4.5,24,0.3719
438245,6.0,4,0.1124
550674,7.0,2,0.3826
161160,6.4,5,0.7932
1202563,6.0,1,0.0973
1122217,3.0,1,0.2112
155666,6.0,14,2.2443
28483,6.0,3,0.0634
103258,6.0,7,0.2599
40015,3.3,25,0.3751
1079421,2.0,1,0.0239
1254877,4.6,10,0.337
46998,5.472,18,0.4025
797815,6.1,76,1.9015
89115,4.2,21,0.2256
1453269,7.0,1,0.2798
1144577,5.2,4,1.1792
1015908,8.0,2,0.3043
1414345,4.5,4,0.4466
890348,2.5,2,0.2196
1137036,10.0,1,0.1225
1493906,7.0,1,0.197
413336,4.0,4,0.1133
741917,7.2,4,0.4513
27003,6.5,60,0.7183
503589,8.0,3,0.1776
456322,5.5,3,0.5726
334693,7.4,4,0.6272
467940,1.0,1,0.0826
257646,4.4,5,0.4002
756194,5.0,1,0.0071
1020910,6.296,339,2.8511
723771,8.0,1,0.0214
28363,6.9,49,1.0188
379852,10.0,1,0.1934
998630,6.6,6,0.2843
72305,4.0,5,0.1197
841657,1.0,1,0.0776
1452657,10.0,2,0.1938
265240,4.3,9,0.1743
78250,2.4,15,0.2193
69773,4.2,22,0.0264
97576,6.4,7,0.3692
666344,2.0,1,0.1406
29607,4.8,4,0.4201
408576,4.0,6,0.2275
254474,4.9,765,2.593
464431,4.3,18,0.7496
446462,3.0,4,0.1247
263103,3.9,5,0.0143
165279,1.0,2,0.202
100270,5.9,74,1.6728
465979,5.0,2,0.1075
9544,3.8,406,1.5938
15239,6.268,647,2.4333
1200539,4.5,2,0.8038
108090,4.6,8,0.1086
759376,6.0,3,0.0614
725226,5.0,2,0.0239
27502,5.6,26,0.49
941256,4.6,19,0.5334
445245,4.3,15,0.1486
225429,4.0,3,0.1994
167575,5.685,382,1.3231
135422,1.6,5,0.3429
148148,5.0,1,0.2516
83833,2.4,9,0.1974
78071,6.1,59,1.0174
72073,2.5,8,0.378
104112,10.0,1,0.0437
353334,1.5,4,0.0363
369272,3.0,3,0.1865
97942,4.0,35,0.5354
959959,10.0,1,0.0989
334717,6.4,5,0.1947
1474325,8.5,4,0.1682
179254,5.9,21,0.2733
968340,5.8,4,0.3592
312475,2.5,2,0.3295
457010,3.0,1,0.3214
278327,7.2,3,0.416
24106,6.7,305,2.0692
188885,5.0,1,0.0459
1065616,5.3,6,0.2501
108364,4.3,3,1.1155
583525,2.7,3,0.0352
173454,3.9,10,0.8002
514101,6.7,3,0.4318
273947,6.9,8,0.0478
526225,5.8,33,0.7006
1300114,7.0,1,0.0071
471347,10.0,1,0.0071
1136387,6.7,30,0.638
1620311,10.0,1,0.0673
289239,5.6,71,0.8807
227172,3.3,19,0.4261
465728,4.0,4,0.4349
74215,5.6,42,0.4908
200272,3.5,10,0.4031
602734,5.902,2260,6.3237
428879,4.0,4,0.1867
1309188,1.0,1,0.2151
1141267,4.0,1,0.0646
56144,4.5,4,0.1697
1589968,10.0,1,0.0143
934194,6.3,91,2.0941
272634,5.345,74,0.4624
636229,3.8,13,0.3627
537271,5.0,6,0.225
522282,4.8,6,0.467
104318,3.3,3,0.1511
755804,6.0,1,0.0648
73910,5.7,3,0.3523
864873,6.02,686,3.1281
443112,8.0,2,0.1129
1423386,4.0,1,0.0416
792101,5.8,24,0.3989
1500187,9.0,2,0.0596
792009,7.0,1,0.0879
1381534,5.556,9,0.6908
732713,5.3,173,1.1632
137939,9.0,2,0.243
809485,7.5,2,0.0143
78308,4.0,32,0.3289
789765,5.0,3,0.4863
1056335,7.0,2,0.0336
18217,4.7,120,0.742
71027,5.0,6,0.3069
1398841,6.5,4,0.2551
62904,4.9,39,0.709
18289,7.395,295,3.6906
616347,3.0,1,0.0941
679674,8.0,1,0.0404
27411,6.1,9,0.4251
532366,3.0,1,0.0461
481682,1.0,1,0.0143
28188,3.1,17,0.1905
591180,4.0,12,0.1192
636076,7.0,1,0.0409
526568,4.3,3,0.6696
39982,5.943,141,2.4079
522945,3.3,3,0.0256
216580,6.595,220,2.7031
1129598,5.997,353,3.2656
28063,5.8,53,0.7234
856839,6.7,3,0.153
595068,5.0,1,0.0789
141864,4.6,4,0.0883
774463,5.0,1,0.0387
704919,4.2,2,0.1456
47631,6.6,15,1.0831
759806,10.0,1,0.0143
881402,5.0,2,0.0379
140656,6.122,135,0.2407
751252,4.6,5,0.13
477810,6.0,1,0.1532
95113,3.3,10,0.171
145668,4.5,62,0.4139
