tconst,title,average_rating,num_votes
tt0285593,Flower and Snake 4: White Uniform Rope Slave,4.9,244
tt0285633,The Jest,6.9,14
tt0286069,Drawing Blood,4.1,271
tt0286571,The Girl and the Wooden Horse Torture,4.7,220
tt0286594,Doctor Sleep,6.1,3321
tt0286680,Sightings: Heartland Ghost,5.1,508
tt0287021,This Filthy Earth,6.2,212
tt0287516,Nurse Diary: Beast Afternoon,5.6,83
tt0288819,Sinister Flesh,6.6,26
tt0289439,Scrotal Vengeance,4.1,69
tt0290747,Man-Thing,4.1,7558
tt0290912,Dracula the Impaler,3.1,142
tt0291292,Hunters' Sense of Touch,6.4,81
tt0291316,Brain Sex,6.2,119
tt0291494,Supesharu ressun: Hentai sei-kyôiku,6.0,48
tt0291533,Umagoya no reijô,5.5,84
tt0292008,Ika-13 kapitulo,6.3,39
tt0292429,Altered Species,2.6,523
tt0294712,Mayhem Motel,4.4,117
tt0294991,Unhappy End,6.3,13
tt0295224,The Education of a Vampire,5.3,33
tt0295369,Killjoy 2: Deliverance from Evil,3.1,1191
tt0295594,GoShogun: The Time Étranger,6.9,198
tt0295884,Bog Creatures,2.9,435
tt0295930,Dr. Horror's Erotic House of Idiots,4.7,125
tt0296032,Kakashi,5.4,739
tt0298533,Trust Me U Die,4.2,65
tt0298874,Friends at Twilight,6.2,10
tt0298934,Inside,7.5,1311
tt0299042,Mother's Day: What a Horror!,3.2,12
tt0299088,Human Pork Chop,4.9,309
tt0299141,Silver Slime,5.8,109
tt0300482,Silver,4.5,397
tt0308894,Silent Number,6.1,57
tt0309331,Grandma's House,5.6,57
tt0310022,Private Property,4.6,116
tt0312507,Buen viaje,6.6,14
tt0312518,Massacre in Rio Grande,6.7,35
tt0316352,One Hell of a Christmas,3.2,349
tt0318010,Rachel's Attic,3.6,148
tt0318052,Sentinels of Darkness,4.1,55
tt0319567,International Necktie Strangler,6.4,30
tt0319841,Meghasandesam,4.8,197
tt0320423,Tall Shadows of the Wind,6.7,180
tt0320787,The Strike,6.3,34
tt0321505,Speck,3.6,289
tt0321595,Capulina vs. the Mummies,5.6,73
tt0322191,An Erotic Vampire in Paris,3.8,229
tt0323774,Calon Arang the Powerful Queen,7.0,64
tt0325701,The House of Ghosts,8.6,25
tt0325913,Nyarlathotep,6.1,149
tt0328897,Suburban Nightmare,4.5,258
tt0328899,The Creature of the Sunny Side Up Trailer Park,3.8,176
tt0329777,Shadow,6.5,30
tt0330500,Ju-on: The Curse,6.8,10125
tt0330854,Yumeko's Nightmare,6.8,13
tt0331488,Ring Around the Rosie,3.3,2125
tt0334541,Tremors 4: The Legend Begins,5.3,15199
tt0335121,Godsend,4.8,27256
tt0337332,Trees,4.8,172
tt0337744,Vlad,3.4,1649
tt0338849,Miss Maniac,5.8,25
tt0339236,Shark Zone,2.8,1142
tt0341266,Bhoot,6.4,4511
tt0344330,House of the Damned,4.5,31
tt0345536,Why Blood is the Color of the Night,7.3,13
tt0345608,Ang Mahiwagang Daigdig ni Pedro Penduko,8.4,16
tt0345676,Muertes a medianoche,6.1,14
tt0346911,Blood of the Virgin: The Captain,5.8,52
tt0347840,Rabbits,6.9,9095
tt0348088,Spirit Warriors: The Shortcut,6.0,356
tt0349113,Ax 'Em,1.4,2242
tt0349115,Baaz: A Bird in Danger,3.5,466
tt0349852,My Vampire Lover,3.7,198
tt0350811,The Diary of Ellen Rimbauer,5.4,4336
tt0353269,CanniBallistic!,5.6,73
tt0353489,Ginger Snaps 2: Unleashed,6.4,16628
tt0353879,Phobias,3.3,143
tt0355527,The Secret,1.9,196
tt0355857,Onmyoji,6.2,1664
tt0356009,Screaming Night,6.7,31
tt0356476,Cold Light of Day,5.4,480
tt0356706,The House That Screamed,3.3,188
tt0359841,Plastic Tree,6.1,213
tt0359857,Psycho Sex Killer,6.1,13
tt0360714,Kid Safe: The Video,6.2,85
tt0360960,Shadows of Time,7.6,1176
tt0362417,Aragami,6.6,2372
tt0365111,Den,4.3,80
tt0365513,Monster Man,5.6,5590
tt0366170,Love from Mother Only,6.9,384
tt0366362,Devil Eye,3.2,38
tt0367690,Eaten Alive: A Tasteful Revenge,5.0,80
tt0367959,Hannibal Rising,6.1,121515
tt0368296,Stacy: Attack of the Schoolgirl Zombies,5.1,1752
tt0368965,Deadly Road,3.8,13
tt0369623,Bloody Dracula,5.7,30
tt0370081,The Yellow Sign,5.8,199
tt0370487,Drag,7.1,106
tt0370545,Exhumed,3.7,172
tt0370547,The Stewardess,4.6,64
tt0372852,Das Hause,7.8,23
tt0373299,The Search for Inflata-boy,6.4,20
tt0373333,Spectrum Voraz,5.3,10
tt0373809,The Raven,6.7,63
tt0374048,A Mind's I,6.5,44
tt0374718,Home Sick,4.6,689
tt0376268,"Transplantation, Consumption and Death of Franco Brocani",5.2,25
tt0376650,Hipnos,5.4,1578
tt0377753,The Death of Batman,1.9,524
tt0378908,Trepanator,4.6,83
tt0379691,Alex's Apartment,6.5,41
tt0380070,Night Corridor,5.0,228
tt0382019,Eternal,4.8,1636
tt0382263,Restless Souls,4.2,226
tt0382650,Doom of Dracula,6.7,23
tt0383012,Timesweep,4.0,167
tt0383533,Nocturne,6.2,38
tt0385543,Bell Witch: The Movie,3.8,200
tt0385664,The Dr. Jekyll & Mr. Hyde Rock 'n Roll Musical,6.6,101
tt0388113,Holla If I Kill You,2.5,144
tt0388365,Red Riding Hood,4.6,716
tt0392776,Silver Scream,6.5,40
tt0395193,Kinder der Nacht,3.2,43
tt0395357,Hell-a-Vision,4.7,16
