id_tertiaire,url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
immersion_2023,https://www.rottentomatoes.com/m/immersion_2023,,20.0,
coffin_2011,https://www.rottentomatoes.com/m/coffin_2011,,29.0,
frankenstein_vs_the_mummy_2015,https://www.rottentomatoes.com/m/frankenstein_vs_the_mummy_2015,,11.0,
intruders_2012,https://www.rottentomatoes.com/m/intruders_2011,29.0,22.0,Intruders has a fantastic first act but then settles into a bland plot and scare tactics that aren't all too scary.
the_seventh_day_2021,https://www.rottentomatoes.com/m/the_seventh_day_2021,13.0,17.0,
entity_2012,https://www.rottentomatoes.com/m/entity_2012,,19.0,
a_christmas_carol_2018,https://www.rottentomatoes.com/m/a_christmas_carol_2019,52.0,58.0,"This radical retelling of Charles Dickens' classic parable struggles to justify its oppressive tone and edgy flourishes, although Guy Pearce is suitably haunting as the haunted Ebenezer Scrooge."
truth_or_dare_2013,https://www.rottentomatoes.com/m/truth_or_dare_2013,,36.0,
spree_2020,https://www.rottentomatoes.com/m/spree_2020,65.0,63.0,Joe Keery's magnetic screen presence can't disguise Spree's shallow critique of social media culture -- although that lack of depth may be precisely the point.
ghoul_2015,https://www.rottentomatoes.com/m/ghoul_2015,33.0,22.0,
the_suckling_1990,https://www.rottentomatoes.com/m/the_suckling_1990,,29.0,
aura_2018,https://www.rottentomatoes.com/m/aura_2018,,7.0,
the_sisterhood_2004,https://www.rottentomatoes.com/m/the_sisterhood_2004,,22.0,
new_blood_2002,https://www.rottentomatoes.com/m/new_blood_2002,,43.0,
sadako_2019,https://www.rottentomatoes.com/m/sadako_2019,,43.0,
the_giant_spider_2013,https://www.rottentomatoes.com/m/the_giant_spider_2013,,62.0,
spiker_2007,https://www.rottentomatoes.com/m/spiker_2007,,4.0,
night_of_the_hunted_2023,https://www.rottentomatoes.com/m/night_of_the_hunted_2023,64.0,32.0,
kiss_of_the_damned_2013,https://www.rottentomatoes.com/m/kiss_of_the_damned_2012,68.0,39.0,"This one bites in a mostly good way: Kiss of the Damned is an erotic gorefest reminiscent of gaudy '70s horror flicks, presented in plain packaging and not meant for direct sunlight."
scarlet_2026,https://www.rottentomatoes.com/m/scarlet_2025,73.0,79.0,"Scarlet is a narratively ambitious take on Hamlet that delivers awe-inspiring fantasy, wondrous animation, and an unforgettable atmosphere."
portal_2019,https://www.rottentomatoes.com/m/portal_2019,,47.0,
mary_2019,https://www.rottentomatoes.com/m/mary_2019,4.0,18.0,"Misguided from stem to stern, Mary wastes the talents of an outstanding cast -- and makes a soggy mess of its supernatural horror story."
stinger_2005,https://www.rottentomatoes.com/m/stinger_2005,,0.0,
metamorphosis_2007,https://www.rottentomatoes.com/m/metamorphosis_2007,,18.0,
the_great_hypnotist_2014,https://www.rottentomatoes.com/m/the_hollow_2015,,10.0,
hannah_2018,https://www.rottentomatoes.com/m/hannah_2018,82.0,60.0,Hannah rests almost completely on Charlotte Rampling's lead performance -- and her outstanding work proves more than capable of bearing the weight.
the_evil_within_2017,https://www.rottentomatoes.com/m/the_evil_within_2017,100.0,56.0,
compulsion_2025,https://www.rottentomatoes.com/m/compulsion_2025,8.0,,
the_power_2021,https://www.rottentomatoes.com/m/the_power_2021,84.0,47.0,"A supernatural horror story grounded in real-world trauma, The Power marks writer-director Corinna Faith as an emerging talent to watch."
