tconst,title,tmdb_id,primaryTitle,genres,averageRating,numVotes
tt15701872,Birdemic 3: Sea Eagle,724585,Birdemic 3: Sea Eagle,"Horror,Romance,Sci-Fi",1.5,676.0
tt15702016,Playtime,969757,,,,
tt15715122,Dybbuk,886440,Dybbuk: The Curse Is Real,"Drama,Horror",5.1,3233.0
tt15718146,The Slip-Back: A Weird Story in Two Parts,700205,,,5.2,7.0
tt15721488,Control,1448393,,,5.9,45.0
tt15739180,Cycles,991423,,,6.0,8.0
tt15745898,The Cabin He Calls Home,1199533,,,6.7,6.0
tt15793076,Waking Karma,1072928,Waking Karma,"Horror,Thriller",2.8,172.0
tt1579725,Ammo Bomma,935310,Ammo Bomma,"Comedy,Horror,Thriller",6.5,95.0
tt15799508,The Incel Tapes,917324,The Incel Tapes,"Horror,Thriller",3.7,61.0
tt15809610,Happy Meal Horror,835677,,,,
tt1581643,The Garbage Man,38836,,,3.6,63.0
tt15823074,Investigation of Fear,1309175,,,,
tt15824990,The Cello,896250,The Cello,"Horror,Mystery,Thriller",3.9,2660.0
tt1583356,Rammbock: Berlin Undead,49901,Rammbock: Berlin Undead,"Action,Drama,Horror",6.3,6205.0
tt15874764,Farmer Joe,1145197,,,,
tt15881684,Alice Was My Name,833575,Alice Was My Name,Thriller,5.6,43.0
tt1592209,The Defiled,77626,The Defiled,"Drama,Horror,Sci-Fi",2.8,196.0
tt1592290,Legend of the Parrot,1574122,Ying wu chuang qi,"Adventure,Fantasy",,
tt15939292,Everbliss Inn,1234762,,,,
tt1595025,The Victorville Massacre,295576,The Victorville Massacre,"Comedy,Horror,Mystery",3.9,187.0
tt15978042,The Third Saturday in October,968862,The Third Saturday in October,Horror,4.7,541.0
tt15988848,Turno de Noche,1257227,,,,
tt1600474,As Good As Dead,1407858,As Good as Dead,"Action,Horror",4.2,14.0
tt1602617,The Corridor,77444,The Corridor,"Drama,Horror,Sci-Fi",4.8,2955.0
tt1604560,Clinton Road,607776,Clinton Road,"Horror,Mystery",3.0,4362.0
tt1606304,Niyang Rapik,281117,Niyang Rapik,"Horror,Mystery,Thriller",4.8,72.0
tt1606718,Coyote,262872,,,6.3,117.0
tt16106000,River of Fear,888001,River of Fear,"Horror,Mystery,Thriller",4.7,771.0
tt1613691,Arima no neko,1171195,Arima no neko,\N,,
tt1615153,Jimmy Tupper vs. The Goatman of Bowie,316408,Jimmy Tupper vs. the Goatman of Bowie,Horror,5.8,104.0
tt1618416,Wake,385043,,,7.5,57.0
tt16226020,Bad Fish,1324495,Bad Fish,"Drama,Horror,Thriller",3.4,431.0
tt16226622,The Presence,1177112,,,,
tt1626622,Choreomania,703050,,,6.1,16.0
tt16296308,Godless: The Eastfield Exorcism,1088157,Godless: The Eastfield Exorcism,"Crime,Drama,Horror",5.4,1671.0
tt1631739,A Virgin's Shroud,549083,Kain Kafan Perawan,Horror,4.4,42.0
tt1631840,Tiran-Mati Di Ranjang,52377,Tiran: Mati di Ranjang,Horror,4.9,30.0
tt1634022,The Sylvian Experiments,70217,The Sylvian Experiments,"Horror,Sci-Fi",4.7,579.0
tt1634121,Intruders,63207,Intruders,"Fantasy,Horror,Thriller",5.4,21917.0
tt16402488,Doğum,919340,Dogum,"Sci-Fi,Thriller",3.3,121.0
tt1641640,The Oatmeal Man,302801,The Oatmeal Man,"Comedy,Horror,Sci-Fi",3.2,172.0
tt16426424,Traces of Death: Special,804941,Traces of Death VI - Special,"Documentary,Horror",3.1,30.0
tt16427428,Kudo's Secret,916124,,,6.5,31.0
tt1645777,Maxwell Stein,673526,,,7.5,16.0
tt1645988,My Mouth Lies Screaming,594568,,,7.3,11.0
tt1650044,The Facility,117120,The Facility,Horror,4.8,2643.0
tt1651119,The Werewolf Hour,823096,Chas oborotnya,Horror,5.7,54.0
